a,y,sex,race,mom_educ,dad_educ,log_parent_income,log_parent_wealth,test_percentile
no_college,FALSE,Male,Hispanic,< HS,No dad,11.647366412062553,1,18.89042250887791
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,No dad,3.4574574774103333,39.6456060375954,50.97652911774663
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,High school,33.1641844486709,44.553335040664024,11.39879321197948
no_college,FALSE,Male,Hispanic,No mom,No dad,19.44502658451966,27.50131360492807,4.709447676507509
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,13.017152583552278,8.735327250639262,0
no_college,FALSE,Female,Hispanic,No mom,No dad,39.35974762672254,29.737759384358718,4.241540719253656
no_college,FALSE,Male,Non-Hispanic Black,High school,High school,17.53060447023662,1,26.830023779665435
no_college,FALSE,Female,Non-Hispanic Black,Some college,Some college,12.242528629281654,4.534935132859152,0
no_college,FALSE,Female,Hispanic,No mom,No dad,9.71799808262222,21.743779833542103,15.812381697868101
no_college,FALSE,Male,Non-Hispanic Black,< HS,No dad,13.765006883163892,27.29103817871317,13.705008367455662
no_college,FALSE,Female,Non-Hispanic Non-Black,No mom,High school,59.395868356494816,37.673421186241086,0
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,No dad,59.49172485836914,37.40063745332659,62.59902715407267
no_college,FALSE,Male,Hispanic,Some college,High school,28.47090091846497,47.99068909351749,34.8873934903433
college,TRUE,Female,Non-Hispanic Non-Black,College,College,43.39079226976645,56.04786265960607,55.60037773791514
no_college,FALSE,Male,Non-Hispanic Non-Black,No mom,No dad,1,41.88863423973977,6.95444228528307
no_college,TRUE,Male,Non-Hispanic Non-Black,College,High school,33.78448327688405,1,0
no_college,TRUE,Female,Non-Hispanic Non-Black,High school,High school,19.35175699465165,1,8.552754926572046
no_college,FALSE,Female,Hispanic,< HS,No dad,36.72367419172273,27.838872446383554,14.354358649264116
no_college,TRUE,Male,Non-Hispanic Non-Black,High school,High school,21.90240598249325,48.46565596537686,63.21999811740716
no_college,FALSE,Female,Non-Hispanic Non-Black,College,No dad,5.261456750890957,1,23.026130696390382
college,FALSE,Male,Non-Hispanic Non-Black,Some college,College,55.769133129598075,1,2.6963818866278437
no_college,TRUE,Female,Non-Hispanic Non-Black,Some college,High school,8.708567614930512,22.739835900521797,8.639044907367015
no_college,TRUE,Female,Non-Hispanic Non-Black,Some college,College,1,63.20055532871386,45.45716674120724
college,TRUE,Female,Non-Hispanic Black,High school,No dad,1,41.68806933849964,34.36045581853607
no_college,FALSE,Male,Hispanic,Some college,Some college,22.634928502676875,14.441141665000156,18.435678072626697
no_college,FALSE,Male,Non-Hispanic Non-Black,College,< HS,30.313585321834402,39.332512461877236,53.5954827456891
no_college,FALSE,Female,Non-Hispanic Black,Some college,No dad,24.13571028797493,18.993629000196947,15.319990899403063
no_college,FALSE,Male,Non-Hispanic Black,High school,No dad,1.4829094502183473,10.544617092081724,12.180865960319117
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,High school,22.884994288644293,20.146710037076435,0
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,College,46.90068330168363,10.02553138444829,54.83826071647117
college,FALSE,Female,Non-Hispanic Black,College,College,1,35.57268703109874,38.591465672954
no_college,FALSE,Male,Non-Hispanic Black,High school,No dad,4.158042106475106,31.004917998225757,3.4659955506173077
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,High school,38.52568254579659,57.72930198368351,39.12046770973263
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,17.314303029066476,13.258058783694647,17.568857067143863
college,TRUE,Male,Non-Hispanic Non-Black,High school,< HS,27.83868050734148,88.86200327116546,43.676872640272535
no_college,TRUE,Male,Non-Hispanic Non-Black,< HS,< HS,1,1.4593520160508504,31.752035308295472
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,College,37.28594805752539,1,39.999133917142586
no_college,FALSE,Male,Non-Hispanic Black,< HS,No dad,19.774587935326508,1,0
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,High school,44.43402408985993,53.25075627654307,40.7917867663925
college,TRUE,Female,Non-Hispanic Non-Black,College,College,58.5657728510221,51.597299551622726,13.432776719545263
college,TRUE,Male,Non-Hispanic Non-Black,No mom,College,22.82414873910932,27.476931613559692,97.64272854459503
no_college,FALSE,Male,Non-Hispanic Black,Some college,No dad,4.44190304607411,22.231433512710367,10.581990281112423
college,TRUE,Male,Non-Hispanic Non-Black,College,No dad,45.84029153445865,94.4498522911752,55.15068743646415
no_college,TRUE,Male,Non-Hispanic Non-Black,High school,High school,38.18378238778053,18.815031556338823,0
no_college,FALSE,Male,Non-Hispanic Black,< HS,No dad,10.809803878026887,3.279360356837505,24.778607445776338
college,TRUE,Male,Non-Hispanic Non-Black,High school,College,41.55146692065224,1,13.058627918543
college,FALSE,Female,Hispanic,College,College,1,40.48674454210689,39.34581855572295
no_college,FALSE,Male,Non-Hispanic Black,High school,No dad,7.452696614115759,6.612456080827834,11.20904924786538
no_college,FALSE,Male,Non-Hispanic Black,Some college,No dad,12.088994806459098,1,23.251866956403344
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,Some college,31.728195930307002,56.00487631815423,19.234063821633896
college,TRUE,Male,Non-Hispanic Non-Black,College,College,12.55740233534885,1,63.102826109760045
no_college,FALSE,Female,Hispanic,< HS,Some college,33.377029915919806,10.233031641840888,37.03604659514437
no_college,FALSE,Male,Hispanic,< HS,No dad,14.026365773168859,5.674406853672515,14.100467045228719
no_college,TRUE,Male,Non-Hispanic Black,< HS,No dad,11.743510094325432,17.401651720937608,7.940778146762791
no_college,FALSE,Male,Non-Hispanic Black,< HS,No dad,10.553253882455847,15.908692999480174,7.499525399435936
no_college,FALSE,Male,Non-Hispanic Black,< HS,No dad,7.411899447253163,36.939328232069414,0
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,16.237625392828395,4.608272514272244,4.666291544756543
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,17.096682597168233,9.419898674915904,20.138926372072238
no_college,TRUE,Female,Non-Hispanic Non-Black,< HS,< HS,13.32159124939725,34.447670631122115,11.887076775099736
no_college,FALSE,Female,Hispanic,High school,No dad,9.126611465698867,6.7223825111654705,4.602887510464299
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,4.79269608771984,15.146497864796036,26.1960535166318
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,No dad,56.265382947934214,17.72397815332868,0
no_college,FALSE,Male,Non-Hispanic Non-Black,College,High school,12.490205836968029,50.19266302379732,0
no_college,TRUE,Male,Hispanic,< HS,< HS,33.47688105773591,10.848816268954426,0
college,FALSE,Female,Non-Hispanic Black,High school,High school,25.6288545176493,25.223849243513595,0
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,College,19.86629694273256,6.457924427177655,34.09248355229629
college,FALSE,Female,Non-Hispanic Non-Black,Some college,College,23.537988956566185,52.12752468131703,63.933742204555315
college,TRUE,Female,Non-Hispanic Non-Black,College,College,8.95484179923746,53.61665985574881,44.836021054152745
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,High school,26.640427879449177,1,58.49910116695551
no_college,FALSE,Male,Hispanic,< HS,No dad,15.992506413309144,9.68019477500622,6.311052830394723
no_college,FALSE,Female,Non-Hispanic Black,High school,No dad,29.871245423289224,13.776104897948981,6.1040949931268305
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,< HS,5.668775211298557,1,22.93282716598923
college,TRUE,Female,Non-Hispanic Non-Black,Some college,Some college,21.07575698804468,1,92.12259535389877
college,FALSE,Male,Non-Hispanic Non-Black,College,Some college,4.041757389097004,61.3723569067413,62.77208511305524
no_college,TRUE,Male,Non-Hispanic Black,Some college,Some college,15.29064026816253,33.93544281166816,37.69973131274318
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,No dad,32.90820461893053,1,0
college,FALSE,Female,Non-Hispanic Non-Black,Some college,High school,16.238232257823476,22.380612967197074,46.06782481093691
college,TRUE,Female,Non-Hispanic Non-Black,Some college,College,82.38330583031382,74.19075513797188,11.602594592219095
no_college,FALSE,Male,Hispanic,< HS,< HS,8.606782544095655,8.142329225564858,23.312349561364513
no_college,TRUE,Female,Non-Hispanic Black,College,Some college,3.882872760613484,13.366102772946052,70.43391766892238
no_college,FALSE,Male,Non-Hispanic Black,< HS,High school,19.05212005220565,5.9295216923503835,21.617337391977486
college,FALSE,Male,Non-Hispanic Non-Black,College,Some college,1,52.38068069336873,41.442252610889796
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,No dad,35.77032681829481,13.396746899359124,0
no_college,TRUE,Female,Non-Hispanic Non-Black,Some college,No dad,50.97472665041991,13.194148068742846,14.523348397114585
no_college,FALSE,Female,Non-Hispanic Black,No mom,No dad,1,11.687078513001289,15.488079641069163
no_college,FALSE,Male,Hispanic,Some college,Some college,1,1,36.291053980626394
no_college,FALSE,Male,Non-Hispanic Non-Black,< HS,< HS,26.07323175829246,13.814644856453755,0
no_college,FALSE,Female,Hispanic,High school,No dad,27.160070610271863,28.431786148664834,8.982481488491944
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,High school,21.473258229658718,39.11924877411517,57.806100928576285
college,FALSE,Female,Non-Hispanic Black,College,No dad,1,1,47.74789992010814
no_college,TRUE,Male,Non-Hispanic Non-Black,Some college,High school,32.14482886729516,4.594251469539479,30.79103842927615
college,FALSE,Male,Non-Hispanic Non-Black,College,Some college,1,33.041705040137415,28.8760950978521
college,TRUE,Male,Hispanic,Some college,Some college,48.79686387781778,42.938549953919,0
no_college,FALSE,Female,Non-Hispanic Non-Black,No mom,High school,14.039218730157781,51.239071300060004,20.10504252275432
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,< HS,1,5.634581454424687,32.72847804361882
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,< HS,1,33.063127362625856,47.87327515726715
no_college,FALSE,Female,Non-Hispanic Black,Some college,No dad,32.01799451199547,47.77336076752963,9.752476849776329
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,No dad,35.589669998108626,27.510429529306304,0
no_college,FALSE,Male,Non-Hispanic Non-Black,No mom,College,23.767897265799252,1,0
college,FALSE,Male,Non-Hispanic Non-Black,Some college,College,48.81646050306108,28.544321177521365,47.960559577849445
no_college,FALSE,Female,Non-Hispanic Black,Some college,Some college,32.62019935786672,51.52872271737671,4.533779733174914
no_college,FALSE,Female,Hispanic,Some college,< HS,42.674856461240054,1,55.22164735426007
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,26.379405299319632,17.519803672755156,0
no_college,FALSE,Female,Non-Hispanic Non-Black,College,College,20.318075715661124,49.3038705789853,37.44067619824512
no_college,TRUE,Male,Non-Hispanic Non-Black,College,College,1,60.946116255058996,96.70659515372692
college,FALSE,Female,Non-Hispanic Non-Black,High school,College,6.7526289669994455,16.00933695968559,0
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,No dad,1,1,0
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,No dad,18.91213212298366,17.535751610162,21.481642385586515
no_college,FALSE,Female,Non-Hispanic Non-Black,College,High school,8.694832726252319,67.84277868883107,25.03540239165319
no_college,FALSE,Female,Non-Hispanic Black,No mom,No dad,15.87034894067895,27.39978674062248,3.5504266915904736
no_college,FALSE,Female,Hispanic,High school,College,51.206019281784904,42.89357141763623,0
no_college,FALSE,Male,Non-Hispanic Non-Black,< HS,Some college,9.979204102699132,23.309080121846222,25.203665166185747
college,TRUE,Female,Non-Hispanic Non-Black,High school,High school,22.839119958015253,1,0.23788079497488113
college,FALSE,Female,Non-Hispanic Black,High school,High school,3.292585615445585,13.03567200233379,33.162735508755816
college,TRUE,Female,Non-Hispanic Black,College,No dad,1,13.082614588915298,50.89167771015299
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,1,28.181726662777308,11.851297741466494
no_college,FALSE,Male,Non-Hispanic Non-Black,< HS,High school,1.0815207689642747,46.575945263222664,32.67308367134643
no_college,FALSE,Male,Non-Hispanic Non-Black,College,College,4.278345036168091,1,23.516522165705204
no_college,FALSE,Male,Hispanic,High school,< HS,30.412589572471745,31.079758474597057,11.202672270273128
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,1,18.37824166247522,0
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,27.51836090348653,62.12961908439449,50.57142129209254
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,No dad,14.561634323212886,26.047756740905157,42.94837799754822
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,No dad,40.89442799475352,22.95595970539521,3.577331374028706
no_college,FALSE,Female,Non-Hispanic Non-Black,College,College,5.531545138655254,50.23956030153163,67.15210620281317
no_college,FALSE,Male,Hispanic,High school,High school,2.113116253386451,23.630068285494367,7.218214343462959
no_college,FALSE,Male,Hispanic,< HS,< HS,14.961223621258137,11.11509248118948,0.11598557842609836
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,High school,1,19.828764840895563,15.186806805184375
no_college,FALSE,Female,Hispanic,< HS,< HS,1,16.84437728481155,11.090762645648148
no_college,FALSE,Male,Non-Hispanic Black,< HS,No dad,6.780904166053852,14.80191369339927,17.0880382364969
college,FALSE,Female,Non-Hispanic Black,College,High school,37.241349834070114,60.302861988121606,29.743991115174538
no_college,FALSE,Female,Hispanic,Some college,< HS,50.61890184723485,20.981613930508537,7.539416905637809
college,TRUE,Female,Non-Hispanic Non-Black,College,College,35.29254663944648,1,22.284477980141084
no_college,FALSE,Male,Non-Hispanic Non-Black,No mom,Some college,14.063619310826072,30.626457248100778,0
no_college,FALSE,Female,Non-Hispanic Non-Black,College,College,13.460269660078136,36.66034607355592,4.2807915146286675
no_college,FALSE,Male,Non-Hispanic Black,Some college,High school,1,11.559858941747265,39.72575809630946
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,< HS,35.75129108028111,35.23479049929168,14.211974958039239
no_college,FALSE,Male,Hispanic,< HS,< HS,18.239032213936937,20.396019702835538,6.800343650725208
no_college,FALSE,Male,Hispanic,< HS,Some college,17.51230699845245,24.85822386602402,0
no_college,FALSE,Female,Hispanic,< HS,< HS,2.6623998714214174,5.8294700950208105,24.196121607131538
no_college,FALSE,Female,Hispanic,Some college,No dad,9.007553710471681,17.485722987441534,0
no_college,TRUE,Male,Non-Hispanic Non-Black,Some college,No dad,1,42.36150718761448,14.382777523255173
no_college,FALSE,Female,Non-Hispanic Black,College,High school,2.860498026155602,17.460407495908427,0
no_college,FALSE,Male,Hispanic,High school,< HS,9.7241317684656,1,10.761268229153888
no_college,FALSE,Male,Hispanic,< HS,< HS,1,15.108298395584413,0
college,FALSE,Male,Non-Hispanic Non-Black,College,College,27.20897234349554,53.4773679826161,5.2276918896897975
no_college,FALSE,Female,Hispanic,< HS,Some college,5.165949760264459,16.672720438570817,0.2900052263142019
college,FALSE,Male,Non-Hispanic Non-Black,Some college,No dad,34.4244261823885,24.974361590192263,0.42959279686520446
college,FALSE,Female,Non-Hispanic Non-Black,College,Some college,2.5917294441503955,59.685252568306524,54.40651427883954
no_college,TRUE,Male,Non-Hispanic Non-Black,< HS,High school,8.665289469110128,5.749899840965771,0
no_college,FALSE,Male,Non-Hispanic Black,College,High school,19.759193588654252,9.498091388885722,12.79561708782109
no_college,TRUE,Female,Hispanic,High school,Some college,65.73952188816247,1,38.024907077814746
no_college,FALSE,Male,Non-Hispanic Non-Black,< HS,< HS,1,36.283957816176184,17.26591773950671
no_college,FALSE,Female,Hispanic,High school,College,25.720774425719902,10.625608119883253,21.1224120487988
no_college,FALSE,Male,Hispanic,No mom,No dad,5.897135325923735,15.74326268852397,11.780050562684464
no_college,FALSE,Female,Hispanic,< HS,No dad,38.42634297684555,28.819952810275502,6.705278731410628
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,College,40.728966176865825,70.43720713645651,22.62330593751293
no_college,FALSE,Male,Non-Hispanic Black,High school,No dad,32.888032495931554,16.46653669808686,10.681124274690628
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,36.81959496055963,1.4374670585160736,41.956219512698866
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,High school,43.30031986106671,26.646266727416712,35.241611786184706
no_college,TRUE,Male,Non-Hispanic Non-Black,High school,Some college,10.558116866108614,38.67566893343525,57.92664085200349
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,No dad,13.912993113751078,1,5.816061131755564
no_college,FALSE,Female,Hispanic,College,Some college,1,9.131838687622896,0
no_college,TRUE,Male,Non-Hispanic Non-Black,High school,No dad,45.7448907357378,10.014302997144709,46.02062492233382
college,FALSE,Female,Non-Hispanic Non-Black,High school,College,36.224833518871314,55.130685432291266,6.749416985728907
no_college,FALSE,Female,Non-Hispanic Non-Black,College,No dad,33.58970878317585,48.920287630300734,15.914116440521898
no_college,FALSE,Male,Hispanic,< HS,No dad,1,11.938272745119429,0
no_college,TRUE,Male,Non-Hispanic Non-Black,< HS,No dad,42.56587679274815,25.434515430982028,21.95212358653581
college,TRUE,Male,Non-Hispanic Non-Black,High school,Some college,1,23.262517264492587,18.287478607629467
no_college,FALSE,Male,Non-Hispanic Non-Black,< HS,High school,7.559574487277972,15.959435644976324,13.179943935797844
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,1,13.958640708196668,37.43409800975902
no_college,TRUE,Female,Non-Hispanic Non-Black,High school,High school,8.00389188360488,1,20.862358177498233
no_college,FALSE,Female,Hispanic,Some college,High school,42.056671841272944,34.953378314597884,19.068921476101178
no_college,FALSE,Female,Hispanic,< HS,No dad,20.65924481125781,19.47249689237632,4.946938617932036
no_college,FALSE,Male,Hispanic,Some college,College,21.57810169258004,26.824548681443602,24.3635690820074
no_college,TRUE,Female,Non-Hispanic Non-Black,High school,< HS,71.41606256209558,41.00544421963866,0
college,TRUE,Female,Non-Hispanic Non-Black,College,College,58.30491732359551,41.163090303953574,2.3550774614707777
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,< HS,1,15.21841664577363,22.44919066750703
no_college,FALSE,Male,Non-Hispanic Black,Some college,No dad,6.9227742006207516,22.797936696215938,20.491740660220934
no_college,FALSE,Female,Non-Hispanic Black,No mom,No dad,2.879061330077679,17.49391760321437,19.529223010459653
no_college,TRUE,Male,Non-Hispanic Non-Black,College,Some college,9.011037043756115,39.15765245689199,0
no_college,TRUE,Male,Non-Hispanic Black,High school,< HS,22.90634269589523,7.727624773621335,14.761410609269165
no_college,FALSE,Male,Non-Hispanic Black,High school,No dad,11.395047370522356,45.364122157631975,32.41182912040725
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,High school,23.637013419851208,29.314002979518786,14.235378566069334
college,FALSE,Male,Non-Hispanic Black,Some college,Some college,6.794165805194961,12.758052265946482,9.146096204131837
no_college,FALSE,Male,Non-Hispanic Black,Some college,No dad,7.939051714879008,11.325671401563804,2.2751532351674086
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,< HS,30.28435073200136,11.48020222170667,0
no_college,FALSE,Male,Non-Hispanic Non-Black,< HS,No dad,9.258242371555497,27.241281447588932,0
no_college,FALSE,Female,Hispanic,Some college,No dad,46.134977721775634,16.940163146854655,0
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,No dad,34.83703433981317,35.871285838189735,54.86278054741567
college,FALSE,Female,Non-Hispanic Non-Black,High school,Some college,52.99402704031354,8.563859204407041,12.41758166763423
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,No dad,45.169829010425225,18.6333356265296,53.74819494557152
no_college,FALSE,Male,Non-Hispanic Black,High school,No dad,16.80660095556277,4.891724025376506,19.486807490923773
no_college,FALSE,Female,Non-Hispanic Non-Black,College,College,32.48585073989408,18.918739137651635,30.658489627443164
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,< HS,7.584883051037866,34.45093262812003,31.064466630119426
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,7.904993764425573,26.442601781791268,18.273029092390924
no_college,FALSE,Female,Hispanic,< HS,< HS,10.367200802366096,17.705229261641996,0
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,Some college,27.33209032730646,37.25038087507052,43.528690902181204
college,TRUE,Female,Non-Hispanic Non-Black,College,College,54.59126845127318,31.263633637153436,42.51364489894096
no_college,FALSE,Female,Non-Hispanic Black,No mom,No dad,15.608550070145983,11.856167075416211,15.12049493853431
no_college,FALSE,Female,Hispanic,< HS,< HS,19.992660486328276,23.232215585413826,0
college,TRUE,Female,Non-Hispanic Non-Black,College,College,68.0165239318161,53.47805774249951,37.35256899945791
no_college,FALSE,Male,Hispanic,< HS,No dad,1,21.59935288304773,9.966203522882305
no_college,FALSE,Male,Non-Hispanic Black,College,No dad,1,6.925989984311068,0
no_college,FALSE,Female,Non-Hispanic Black,High school,High school,4.851430808930756,29.172932285271006,53.932357757807964
college,FALSE,Male,Non-Hispanic Non-Black,High school,College,39.046337105759484,1,19.733315310457392
college,FALSE,Female,Hispanic,High school,College,1,61.719754366995254,49.65130909551971
no_college,FALSE,Male,Hispanic,Some college,No dad,10.0212038340245,1,5.3269692834624855
no_college,FALSE,Female,Hispanic,< HS,< HS,19.84740371776858,12.963588238141767,23.466646125443106
college,FALSE,Female,Non-Hispanic Non-Black,Some college,Some college,11.858234371772042,20.45449672811245,60.00678638413768
college,FALSE,Male,Non-Hispanic Non-Black,College,College,41.6920203250291,7.29824117417688,45.8609097726421
college,TRUE,Male,Non-Hispanic Non-Black,High school,High school,43.40923535033458,89.3840867626818,29.401322834676687
no_college,FALSE,Female,Hispanic,< HS,No dad,1,26.793544346697015,27.430230874121488
no_college,FALSE,Female,Non-Hispanic Black,High school,< HS,17.17180652118755,48.42258811508151,0
no_college,FALSE,Male,Non-Hispanic Non-Black,College,College,25.78599933660954,47.93283845354321,27.41830835361431
no_college,FALSE,Male,Hispanic,< HS,No dad,10.365721108093176,28.772619699873108,5.275229077233796
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,< HS,1,1,5.814956441382964
no_college,TRUE,Male,Hispanic,< HS,< HS,7.478082440663464,26.45529687579225,10.496695191365202
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,< HS,1,1,26.921004030677025
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,No dad,14.737917978163708,1,66.71824790291484
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,College,11.121938462723605,54.38816092228831,9.078533455070145
no_college,FALSE,Male,Hispanic,Some college,High school,13.738564706214085,9.46413207806475,44.557194204353046
no_college,FALSE,Male,Hispanic,High school,No dad,8.352542949510521,47.16103261544621,32.597908639552855
college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,5.100907729352176,20.423011069442765,23.614551694422193
college,FALSE,Female,Hispanic,College,High school,54.5485222765202,61.30426980641362,52.38455158689216
no_college,FALSE,Male,Non-Hispanic Black,No mom,High school,2.651640725679357,1,30.15142328325392
no_college,FALSE,Female,Non-Hispanic Black,High school,No dad,4.334069101833238,13.060284143702393,0
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,< HS,53.555623997931264,50.21976927703378,17.70255398210572
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,College,1,1,2.794211109215677
no_college,FALSE,Male,Hispanic,Some college,College,24.966298002980988,35.66369089923079,14.580269189575436
no_college,FALSE,Male,Non-Hispanic Black,High school,No dad,14.300528262049617,24.487780827951568,4.914307681149424
no_college,FALSE,Female,Hispanic,Some college,< HS,47.91600315490852,19.36669081024579,5.373313864872038
no_college,FALSE,Male,Non-Hispanic Black,High school,Some college,8.172761516205856,5.898674335844444,0
no_college,FALSE,Female,Non-Hispanic Non-Black,College,College,66.1635734621704,3.0484958560440205,68.1461364869289
no_college,FALSE,Female,Non-Hispanic Non-Black,College,No dad,24.664310298893838,1,7.162673367811994
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,No dad,10.578534756268548,36.57470175169453,10.910356940770068
no_college,FALSE,Male,Non-Hispanic Black,High school,High school,1,1,0
college,TRUE,Female,Non-Hispanic Non-Black,< HS,College,13.125588489149763,44.964153309423985,69.02431887817596
no_college,TRUE,Male,Hispanic,< HS,College,10.916202001917503,11.713954544605373,11.780107108704046
no_college,TRUE,Female,Non-Hispanic Black,< HS,< HS,17.71883600325706,15.185695455188498,4.024521622850289
no_college,FALSE,Male,Non-Hispanic Black,No mom,No dad,8.18178806834051,18.49225386614954,0
college,FALSE,Female,Non-Hispanic Non-Black,< HS,Some college,25.252799438009955,24.51215074113179,19.897813805949554
no_college,TRUE,Female,Non-Hispanic Non-Black,Some college,High school,55.88309872700516,4.455017273815539,3.922367764097533
no_college,TRUE,Male,Non-Hispanic Non-Black,High school,High school,1,43.82613911841776,7.225916667031278
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,No dad,11.590936614744082,1,17.580636917173337
no_college,FALSE,Female,Non-Hispanic Black,Some college,No dad,5.173730762299037,1,21.994453839621627
no_college,FALSE,Male,Hispanic,Some college,Some college,34.763984980038366,5.53745897051372,30.558825405795638
no_college,FALSE,Male,Non-Hispanic Black,< HS,No dad,18.803276811852434,8.827533650444318,10.290357635074825
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,No dad,1.500035042501759,6.985623273673179,23.23845150268358
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,< HS,34.966289465387945,1,10.96605657398913
no_college,FALSE,Female,Non-Hispanic Black,High school,No dad,8.181555613131295,24.95371565148249,1.1187921792175448
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,36.703726087300424,7.799414190022032,29.095431987855967
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,9.395427987273308,10.901572749621993,13.604619790986686
no_college,FALSE,Female,Non-Hispanic Black,College,Some college,1,9.510656157903925,13.064187888562325
no_college,FALSE,Male,Non-Hispanic Black,High school,High school,1,4.592213253820386,13.808178341617182
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,High school,26.071772589916446,16.22918928143276,64.0241333483928
no_college,FALSE,Female,Hispanic,< HS,High school,14.707323469471946,1,0
no_college,TRUE,Male,Non-Hispanic Non-Black,Some college,No dad,34.47861203687924,24.748541015627946,18.08929474307262
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,Some college,38.70859325968655,20.350110946295302,19.403627784390466
no_college,FALSE,Male,Non-Hispanic Black,High school,High school,2.733848249150258,10.996279459587733,10.29631496603695
no_college,FALSE,Male,Non-Hispanic Non-Black,< HS,No dad,55.108114854520274,27.186784732746375,23.60230947520571
no_college,FALSE,Male,Non-Hispanic Black,High school,No dad,18.275263481368235,17.41217401118383,9.161470889361254
no_college,FALSE,Male,Non-Hispanic Black,High school,Some college,8.776360820994483,16.525936500650275,16.672509003124492
no_college,TRUE,Male,Hispanic,< HS,< HS,32.13038709530126,29.139438400868592,0.3111344706660759
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,Some college,28.94696055082453,58.29509373207432,17.348571393116167
college,TRUE,Male,Non-Hispanic Black,College,College,52.040953532126075,1,64.22787601502972
college,TRUE,Male,Non-Hispanic Non-Black,College,College,61.876454536466056,87.63398054660038,53.33452466328609
no_college,FALSE,Female,Non-Hispanic Black,Some college,No dad,1,1,22.543751514867072
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,1,1,14.158222259470204
no_college,FALSE,Female,Non-Hispanic Black,No mom,No dad,6.271518899987105,36.46024084350615,0
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,College,47.81520126397773,57.9671610376203,62.200913218830735
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,< HS,42.864852536927415,6.728839294196089,37.94116852595103
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,3.58931510045144,3.6832524627559433,17.35098251719502
